timestamp,alert_id,alert_type,severity,service,host,metric_value,threshold
2025-01-10T10:05:00Z,ALT-001,high_cpu,critical,checkout,host-01,94.2,90
2025-01-10T10:07:00Z,ALT-002,disk_full,critical,payments,host-02,97.1,95
2025-01-10T10:09:00Z,ALT-003,api_failure,high,orders,host-03,500,200
2025-01-10T10:11:00Z,ALT-004,service_down,critical,auth,host-04,0,1
2025-01-10T10:13:00Z,ALT-005,high_cpu,critical,checkout,host-01,96.8,90
2025-01-10T10:15:00Z,ALT-006,memory_leak,critical,checkout,host-01,92.5,85
2025-01-10T10:17:00Z,ALT-007,network_timeout,high,orders,host-03,38,10
2025-01-10T10:19:00Z,ALT-008,repeated_failure,critical,auth,host-04,7,3
2025-01-10T10:21:00Z,ALT-009,latency_spike,high,api-gateway,host-05,1820,800
2025-01-10T10:23:00Z,ALT-010,db_conn_errors,critical,orders-db,host-06,126,20
2025-01-10T10:25:00Z,ALT-011,queue_backlog,medium,fulfillment,host-07,4800,2000
2025-01-10T10:27:00Z,ALT-012,cache_miss_rate,medium,search,host-08,62.4,45
2025-01-10T10:29:00Z,ALT-013,certificate_expiry,low,api-gateway,host-05,21,14
2025-01-10T10:31:00Z,ALT-014,unusual_traffic,medium,edge,host-09,15500,12000
2025-01-10T10:33:00Z,ALT-015,pod_crashloop,critical,checkout,host-10,9,2
2025-01-10T10:35:00Z,ALT-016,disk_iops,high,media,host-11,9200,7000
2025-01-10T10:37:00Z,ALT-017,message_lag,medium,streaming,host-12,340,120
2025-01-10T10:39:00Z,ALT-018,auth_rate_limit,low,auth,host-04,82,100
2025-01-10T10:41:00Z,ALT-019,payment_declines,high,payments,host-02,6.8,3
2025-01-10T10:43:00Z,ALT-020,service_down,critical,orders,host-03,0,1
